url;operator
example.com;Example
api.cyclocity.fr;JC Decaux
api.saint-etienne-metropole.fr;Fifteen
bdx.mecatran.com;Cykleo
bird.co;Bird
clermontferrand.publicbikesystem.net;Citybike
data.mobilites-m.fr/api/gbfs/dott_grenoble;Dott
data.optymo.fr;SMTC 90
donkey.bike;Donkey Republic
download.data.grandlyon.com;JC Decaux
ecovelo.mobi;Ecovélo
eu.ftp.opendatasoft.com/star;Cykleo
fifteen.eu;Fifteen
fifteen.site;Fifteen
getapony.com;Pony
lime.bike;Lime
media.ilevia.fr/opendata;Cykleo
nextbike.net;nextbike
smovengo.cloud;Fifteen
urbansharing.com/lovelolibreservice.fr;Citybike
voiapp.io;Voi
zoov.eu;Fifteen
zoov.io;Fifteen
zoov.site;Fifteen
